Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category,Premium/Income Ratio,Policy Value/Income Ratio,Policy to Death Timeline,Death to Intimation Gap,Location Risk,Location-Based Risk,Occupation Risk Score,Product Type Risk,,Fraud Category
1,20,6,11,1200000,120000,2,420000,1,1,10,10,445,13,816115,4,3,Unknown,8/30/2023,10/26/2023,12/12/2023 11:26,1,3,8,0.2857142857142857,2.857142857142857,57,47,445_13,387,3.142857142857143,11.428571428571429,,Misrepresentation
2,33,5,11,350000,5000,4,180000,0,1,15,10,488,16,464001,3,3,Unknown,3/2/2022,3/31/2022,2/10/2023 11:25,1,3,8,0.027777777777777776,1.9444444444444444,29,316,488_16,434,0.3055555555555555,5.833333333333333,,Misrepresentation
3,34,12,10,350000,5000,4,249000,0,1,15,10,50,31,731238,3,3,Unknown,7/8/2022,11/11/2022,6/26/2023 10:56,1,3,8,0.020080321285140562,1.4056224899598393,126,227,50_31,458,0.20080321285140562,4.216867469879518,,Misrepresentation
4,34,12,11,325000,5000,4,360000,0,1,10,10,298,29,281504,3,3,Unknown,12/27/2022,4/8/2023,8/14/2023 11:33,1,3,8,0.013888888888888888,0.9027777777777778,102,128,298_29,222,0.15277777777777776,2.7083333333333335,,Misrepresentation
5,54,5,6,100000,5000,4,600000,0,1,15,10,94,26,606001,3,3,Unknown,3/24/2023,4/11/2023,12/6/2023 12:40,1,3,8,0.008333333,0.16666666666666666,18,239,94_26,506,0.05,0.5,,Misrepresentation
6,45,10,0,175000,5000,4,250000,0,1,10,10,306,16,476221,3,3,Unknown,4/6/2023,,,0,11,8,0.02,0.7,,,306_16,232,0,2.0999999999999996,,Misrepresentation
7,32,5,2,350000,5000,4,240000,0,1,15,10,200,25,335501,3,3,Unknown,7/20/2023,8/6/2023,11/9/2023 13:19,1,3,8,0.020833333333333332,1.4583333333333333,17,95,200_25,114,0.041666666666666664,4.375,,Misrepresentation
8,46,10,11,500000,50000,4,780000,0,1,12,10,197,27,500037,4,0,1,11/22/2021,2/10/2022,2/15/2023 13:50,1,3,8,0.064102564,0.6410256410256411,80,370,197_27,109,0.7051282051282051,2.5641025641025643,,Misrepresentation
9,43,12,4,2000000,200000,4,816000,0,1,12,10,293,26,625535,4,0,1,1/12/2022,2/25/2023,7/4/2023 13:02,1,3,8,0.24509803921568626,2.450980392156863,409,129,293_26,217,0.9803921568627451,9.803921568627452,,Misrepresentation
10,27,2,10,990000,99000,4,960000,1,1,12,10,290,13,829203,4,0,1,4/22/2022,,,0,11,8,0.103125,1.03125,,,290_13,214,1.03125,4.125,,Misrepresentation
11,40,12,2,1000000,100000,4,1200000,0,1,12,10,343,8,110041,4,0,1,6/16/2022,9/4/2022,6/20/2023 13:11,1,3,8,0.083333333,0.8333333333333334,80,289,343_8,273,0.16666666666666666,3.3333333333333335,,Misrepresentation
12,54,10,2,990000,99000,4,580000,0,1,12,10,414,31,741404,4,0,1,6/14/2022,11/29/2022,5/3/2023 15:01,1,3,8,0.1706896551724138,1.706896551724138,168,155,414_31,352,0.3413793103448276,6.827586206896552,,Misrepresentation
